TermId,Term
102,1664
241,1800
79,3er Probierbrett
85,42 Below
82,5er Probierbrett
117,7 Up
507,Abbazia Monte Oliveto
15,Aberfeldy
595,Aberlour
314,Absolut
498,Ace of Spades
197,Acqua Panna
198,Affligem
315,Aguila
534,Aix
251,Aldaris 1865
487,Alfredo
80,Alsterwasser Alkoholfrei Glas
78,Alsterwasser Glas
282,Amber Bay
199,Amstel
535,Anakena
76,Angelo Pale Ale Glas
316,Angostura
536,Antares
426,Antioqueno
317,Aperol
227,Apotekarnes
430,Appleton Estate
471,Arbikie
532,Archers
537,Archers
219,Ardmore
136,Arendals
318,Asahi
59,Astra
611,Atlantic Pale Ale
226,Auchentoshan
16,Aultmore
431,Averna
319,Aviation
465,Aviation Gin
17,B&B
10,Bacardi
118,Backyard Brew
200,Badoit
137,Baileys
248,Baltika
189,Bandida do Pomar
11,Banks
499,Banrock Station
240,Barbaresso
508,Barboursville Vineyards
422,Barcelo
196,Baron Otard
334,Barons de Rothschild
570,Batasiolo
505,Batch X
138,Battery
39,Beck`s
295,Beefeater
320,Bell's
321,Bellerose
260,Belsazar
571,Beluga
322,Belvedere
403,Belvoir
488,Bendito
33,Benedictine
497,Berne Selection
572,Bio Bio
578,Bisol
47,Bitburger
300,Black Box
242,Black Bush
301,Black Velvet
445,Black Velvet
323,blanche de Namur
591,Blindos
258,Bluetails
259,Bluetails
579,Bodegas Navajas
577,BodegasNavajas
335,Bollinger
324,Bols
2,Bombay
509,Borgo San Leo
34,Bosford
325,Boulard
221,Bowmore
326,Brahma
576,Branca
201,BrewDog
86,Brewmasters
60,Brooklyn
273,Brora
327,Brugal
524,Bruichladdich
328,Buckler
329,Bud Light
139,Budweiser
330,Bulldog
263,Bulleit
586,Bundaberg
87,Burn
243,Bushmills
510,Ca'Bolani
293,Cacique
612,Caffreys
495,Callaway
18,Camino
400,Campari
404,Canada Dry
302,Canada House
303,Canadian Club
336,Canard-Duchene
575,Cao Illa
266,Caol Ila
262,Captain Morgan
405,Caraïbos
275,Cardhu
331,Carling
61,Carlsberg
332,Carlton
119,Carneige Porter
448,Carolans
264,Casamigos
511,Castello Del Poggio
512,Castello Di Albola
333,Castle
574,Catena
337,Cattier
103,Cave A Biere
83,Cazadores
580,Ceder's
120,Celia
573,Chablisienne
19,Chambord
545,Charles Smith
406,Chateldon
348,Chivas
428,Cinzano 1757
522,Cinzano Prosecco
432,Cinzano Vermouth
261,Ciroc
349,Citadelle
466,Citizen
276,Cladach
587,Clynelish
121,Cobra
88,Coca-Cola
89,Cocio
350,Cointreau
222,Connemara
278,Copper Dog
43,Corona
184,Coruja
217,Courvoisier
267,Cragganmore
20,Craigellachie
407,Cristaline
433,Crodino
279,Crown Royal
202,Cruzcampo
439,Cynar
469,Código 1530
237,D'usse
546,Da Luca
140,Dahls
268,Dalwhinnie
569,Darfeuille
230,De Kuyper
446,Deep Eddy
41,Desperados
338,Deutz
12,Dewar's
280,Dimple
167,Disaronno
608,Discarded
568,Dog Point
604,Dom Bénédictine
161,Dom Pérignon
447,Domaine De Canton
567,Domaines Fabre
566,Domaines Ott
281,Don Julio
283,Don Julio
513,Dos Almas Chile
565,Dr. Loosen
168,Drambuie
104,Ducasse
62,Duckstein
490,Duval
203,Duvel
141,E.C.D
190,Edelweiss
296,Edinburgh Gin
105,Eguzki
250,Einsiedler
351,El Jimador
441,Elijah Craig
474,Empress 1908
70,Erdinger
122,Eriksberg
5,Eristoff
440,Espolòn
443,Evan Williams
204,Evian
408,Evoleum
453,Ezra Brooks
22,Facundo
195,Fada
352,Fair
123,Falcon
481,Family Estates
90,Fanta
142,Farris og Imsdal
354,Ferdinand's
409,Ferrarelle
191,Fever-Tree
21,Finlandia
212,Finley
106,Finnbara
480,Firestone
355,Fischer
506,Fish Hoek
502,Flagstone
143,Fondberg
356,Fords
304,Forty Creek
392,Foster's
393,Frangelico
58,Franziskaner
425,Fresita
144,Frydenlund
91,Fuze Tea
357,G'Vine
339,G.H. Mumm
124,Garage
63,Gatz Altbier
394,George Killian's
23,Get
358,Gibson's
359,Giffard
360,Gin Mare
438,Glen Grant
169,Glenfiddich
420,Glengoyne
269,Glenkinchie
361,Glenlivet
181,Glenmorangie
477,Good Sunday
305,Gooderham & Worts
284,Gordons
362,Grand Marnier
4,Grey Goose
64,Grimbergen
145,Group
494,Gruet
50,Guinness
363,Haig
65,Hannen Alt
500,Hardys
306,Harwood
364,Havana Club
365,Hayman's
40,Heineken
458,Hell-Cat Maggie
170,Hendrick's
159,Hennessy
223,Hibiki
366,Highland Park
367,Highland Poacher
146,Hoegaarden
66,Holsten
228,Honest
596,Hornitos
171,Hudson
449,Hypnotiq
452,Iceberg
528,Italicus
292,J&B
307,J.P. Wiser's
3,Jack Daniel's
194,Jack Daniel's Rye
92,Jacobsen
370,Jameson
564,Jean-Luc Colombo
215,Jim Beam
285,Jinzu
35,Johnnie Walker
244,Jose Cuervo
205,Jupiler
368,Jura
369,Jägermeister
125,Jämtlands Bryggeri
371,Kahlua
563,Kaiken
562,Kanonkop Wine Estate
107,Kanterbrau
126,Karhu
286,Ketel One
93,Kildevæld
108,Kilkenny
561,Kim Crawford
94,Kinley
529,Kirin
543,Kirin
214,Knob Creek
254,Koff
437,Koko Kanu
95,Kongens Bryghus
245,Kraken
46,Krombacher
109,Kronenbourg
72,Kronenbourg 1664
165,Krug
48,König Pilsener
42,Köstritzer
110,La Bete
410,La French
456,La Hechicera
395,La Parisienne
270,Lagavulin
340,Lanson
220,Laphroaig
530,Lapostolle
442,Larceny
559,Laroche
341,Laurent-Perrier
32,Leblon
147,Leffe
411,Lemonaid
396,Liefmans
584,Lillet
397,Lindemans
148,Lipton
308,Lord Calvert
309,Lot 40
558,Luigi Righetti
372,Luxardo
149,Lysholmer
69,Lübzer
73,Lüneburger
594,Madrí
246,Maestro Dobel
256,Maestro Dobel
185,Mahou
53,Maisel`s Weisse
216,Maker's Mark
373,Malibu
236,Mandarine Napoleon
531,Marquis De Puysegur
375,Martell
374,Martin Miller's
6,Martini
472,Mascot
514,Masseria Altemura
310,Masterson's
557,Meerlust
255,Merchant's Heart
342,Mercier
455,Meteoro
503,Mezzomondo
504,Mezzomondo
376,Midori
206,Minute Maid
423,Modelo
150,Moestue
475,Moneybag
377,Monkey 47
172,Monkey Shoulder
96,Monster
555,Montes
74,Moravia
265,Mortlach
378,Mount Gay
162,Moët & Chandon
501,Mud House
527,Multibrand
151,Munkholm
207,Murphy's
127,Mythos
412,Nestea
343,Nicolas Feuillate
297,Nikka
24,Noilly Prat
554,Nonino
152,Nordlandspils
467,Nude
128,Nya Carnegie Bryggeriet
526,Nàdar
436,O'ndina
173,OVD
271,Oban
476,Ocean Organic
413,Ocean Spray
249,Okocim
31,Old Forester
468,Ole Smoky
585,Olmeca
515,Oltrenero Metodo Classico
208,Orangina
489,Origen
30,Otard
29,Oxley
597,Palette
287,Pampero
553,Pares Balta
379,Passoa
13,Patron
44,Paulaner
398,Pelforth
552,Penfolds
129,Pepsi
380,Pernod
209,Peroni
193,Perrier
344,Perrier-Jouët
482,Pessimist
462,Phillips
111,Pietra
311,Pike Creek
57,Pilsner Urquell
381,Pimm's
598,Pinnacle
28,Piper Heidsieck
9,Piper-Heidsieck
589,Pirinsko
607,Plume & Petal
382,Plymouth
516,Podere San Cristoforo
345,Pommery
75,Poretti
274,Port Ellen
399,Port Royal
461,Prairie
424,Presidente
517,Pricipi Di Butera-Sicilia
496,Primarius
130,Pripps Blå
84,Pyrat
493,R Wines
299,R1
599,ROBERT MONDAVI
49,Radeberger
81,Radler Alkoholfrei Glas
77,Radler Glas
97,Ramlösa
383,Rare Champagne
592,Raudonų Plytų
454,Rebel Yell
182,Red Bull
460,Revel Stoke
174,Reyka
551,Rigal
153,Ringnes
541,Rioja Vega
444,Rittenhouse
518,Rocca di Montemassi
609,Rockshore
288,Roe & Co
550,Roku
27,Royal Brackla
346,Ruinart
451,RumChata
175,Russian Standard
229,Rutte
98,Rynkeby
401,Rémy Martin
601,SUTTER HOME
384,Saffron Gin
186,Sagres
176,Sailor Jerry
131,Saku
51,Salitos
54,San Miguel
192,San Pellegrino
418,Sansu
544,Santa Carolina
14,Santa Teresa
387,Sauza Tequila
154,Schous
99,Schweppes
483,Scruffy
385,Seagram's
298,Seedlip
549,Seresin
247,Sexton
588,Shumensko
132,Singha
386,Sipsmith
112,Skoll
435,Skyy
36,Slane
155,Smirnoff
113,Smithwicks
421,Smokehead
450,Sobieski
156,Solo & norske favoritter
464,Sombra
67,Somersby
457,Sour Puss
232,Southern Comfort
414,Speyside Glenlivet
100,Sprite
114,St Austell
7,St Germain
525,St Remy
231,Star of Bombay
55,Staropramen
492,Stel + Mar
157,Stella
600,Stella Rosa
71,Stiftungsbräu
38,Stolichnaya
484,Stompers
183,Strongbow
548,Sula Vineyards
224,Suntory
187,Super Bock
602,Svedka
133,TILL
233,TUACA
463,TYKU
234,Tails
347,Taittinger
272,Talisker
289,Tanqueray
312,Tap
547,Tasca
419,Teeling
519,Tenuta il Bosco
542,Terlano
491,Terre Vega
606,Tetley's
166,The Balvenie
388,The Botanist
26,The Deveron
353,The Famous Grouse
479,The Palm
257,The Sexton
277,The Singleton
485,Third Generation
613,Thomas Henry
533,Three Barrels
177,Tia Maria
605,Tigre Bock
470,Tito's
459,Tomatin
158,Tou
115,Tourtel
538,Trader Vic's
68,Tuborg
178,Tullamore D.E.W.
160,Ultimat
37,Underberg
486,Uprising
415,Vals
540,Vasse Felix
188,Vedett
389,Velho Barreiro
56,Veltins
520,Ventiterre
523,Verano
163,Veuve Clicquot
593,Vichy
402,Vieux Lille
290,Villa Ascenti
52,Vitamalz
211,Vittel
416,Volvic
417,Voss
473,Warner's
45,Warsteiner
116,Wel Scotch
478,Whispering Angel
101,Wiibroe
390,Wild Turkey
8,William Lawson's
313,Windsor
179,Wood's
25,Woodford Reserve
610,Worthington's
434,Wray & Nephew
391,Wyborowa
134,Xide
539,Yalumba
225,Yamazaki
603,Yellow Tail
291,Zacapa
253,Zatecky Gus
135,Zingo
521,Zonin
614,test
590,Švyturys
180,Żubrówka
252,Балтика